filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0178-Abba-Money.Money.Money.mp3,0.37312248,0.07376661,2786.556252910897,2527.349925654379,5590.643183579239,0.15111730310100915,-155.99861,68.81626,-10.393233,31.419224,-5.560786,9.591476,1.2313992,4.116016,-4.453199,1.8456104,-4.819484,5.3899207,-5.72761,4.5379596,-4.9680796,0.16040492,-6.8183866,-2.1873348,-8.179186,2.9493032, no-data
0179-Abba-Dancing.Queen.mp3,0.38916248,0.11015406,3084.30758298543,2675.016374987641,6133.138268948701,0.1770486461519657,-73.6104,61.925102,-14.461291,20.555681,-0.49581546,4.161426,1.3187137,4.7713614,1.2017627,2.2690034,-3.3870428,2.8953884,-4.370704,4.468615,-3.1119523,-1.7820839,-2.6726434,3.4256947,-3.029962,0.55217034, no-data
018-harry_styles_-_sign_of_the_times.mp3,0.34386614,0.22942224,2005.4641168491353,2192.929735698667,4259.926369840301,0.08655696227716468,-73.907936,107.240326,-9.0322895,18.88913,7.8834486,6.1588807,-3.4683685,6.9492683,-1.3178688,1.6228666,-3.3849087,0.6843345,-3.9850843,-0.40459558,-4.1190968,1.0660362,-3.1502469,-1.7077035,-6.972812,0.5229744, no-data
019-drake_-_passionfruit.mp3,0.41183886,0.20392795,1414.8204939398152,1983.567687856699,3116.1956784739077,0.03984644265776699,-181.72757,117.60637,37.028015,35.505642,16.958548,18.215248,4.7868237,11.066104,2.2979062,7.356841,2.361914,4.662338,1.5394922,4.1103444,-1.0615246,1.6493756,-3.067616,0.024283137,-3.4456306,0.3949505, no-data
02 - Anarkali - Ee Thanutha [Maango.me].mp3,0.31928867,0.31196678,2052.252555212625,2459.2830519509484,4580.952486481899,0.0716598549495579,-84.16532,88.371994,10.55689,27.465742,12.324901,8.950735,2.0425255,2.623334,-4.471673,5.0670667,-3.0975482,2.5145557,-0.55692124,1.3747636,-3.3137343,-0.37094003,-3.9942298,1.4946625,1.1393226,1.78588, no-data
02 - Immortalized.mp3,0.47422364,0.3337613,2770.088231626633,2660.786648030154,5890.001665693913,0.1303100915560306,42.078773,74.13416,-12.32286,18.547,-2.1067576,17.021378,6.3124485,11.764976,3.7648978,7.556201,1.5173373,8.976141,-3.6894798,2.093087,-5.6102734,4.393601,-6.1032352,3.2808175,-0.85955185,-0.01676538, no-data
02 - Jacobinte Swargarajyam - Ee Shishirakaalam [Maango.me].mp3,0.2795245,0.229379,1679.2507975453734,2060.4824477185316,3471.18025049318,0.07150253244865698,-86.94874,119.52351,-3.363562,23.56299,1.0104448,3.9985077,-1.2924907,-0.57185555,-3.4534655,-2.7717364,-5.93134,2.8782444,-5.05395,-1.877895,-7.836937,-0.551204,-8.635208,2.8475492,-5.9410615,1.2997915, no-data
02 - Kohinoor - Dum Dum Dum [Maango.me].mp3,0.32007796,0.22528104,2645.7750055750544,2661.8552844104,5749.739300592429,0.11628133076555419,-49.456673,74.73159,2.1147523,19.438944,0.63372236,10.248625,-2.1591597,2.9184592,-6.488005,1.3232869,-0.7396705,4.2823443,-4.7169666,1.0448672,-3.3743339,0.8993102,-8.024071,0.27184826,-4.778765,-2.8985088, no-data
02 - Metal Thrashing Mad.mp3,0.45615274,0.13641618,1724.114395329256,1492.1396422325556,3269.689446400392,0.10931303754167122,-103.610115,147.54536,-83.68029,41.729935,-9.882172,-6.519036,22.489374,-6.991327,10.222889,0.64023596,-3.8570805,7.8555913,-17.577383,4.842145,-15.590141,3.5200324,-8.907658,-1.1885806,-0.037830908,-6.584942, no-data
02 - TheNumberOfTheBeast.mp3,0.4080101,0.2293894,2529.7760251756176,2420.235480969335,5205.023491091844,0.12033808952575625,-39.43608,79.7373,-13.2709875,34.022312,0.82541966,12.45286,2.1853411,6.5523114,-5.360169,0.6284062,-2.3886204,0.083237514,-6.2842937,-3.3129053,-9.700528,-1.945632,-8.861189,-2.896863,-8.151554,-3.065052, no-data
